sentence1,sentence2,gold_score,predicted_score,error,signed_error,error_category
The lady cracked an egg into a bowl.,The man is cracking eggs into a bowl.,0.5199999809265137,0.7508143782615662,0.2308143973350525,0.2308143973350525,Poor
A band is performing on a stage.,A band is playing onstage.,1.0,0.895635187625885,0.10436481237411499,-0.10436481237411499,Good
Elephants are walking down a trail.,A herd of elephants are walking along a trail.,0.9199999809265137,0.9035985469818115,0.01640143394470217,-0.01640143394470217,Excellent
A man is playing a guitar.,A man plays the guitar.,1.0,0.979010820388794,0.020989179611206055,-0.020989179611206055,Excellent
A man sitting on the floor plays a guitar.,A man sitting on the floor in a room is strumming a guitar.,0.9600000381469727,0.8268659710884094,0.13313406705856323,-0.13313406705856323,Fair
A puppy plays with a plastic container.,The dog is playing with a plastic container.,0.7599999904632568,0.9053809642791748,0.14538097381591797,0.14538097381591797,Fair
A man plays the violin.,A man is playing violin.,1.0,0.9832699298858643,0.016730070114135742,-0.016730070114135742,Excellent
A man plays the piano.,A man is playing a piano.,1.0,0.9783765077590942,0.02162349224090576,-0.02162349224090576,Excellent
A man is eating food.,A man is eating something.,0.8399999618530274,0.9020698070526123,0.062069845199584917,0.062069845199584917,Good
A man is playing a basketball.,A man is playing a piano.,0.27999999523162844,0.4285460412502289,0.14854604601860044,0.14854604601860044,Fair
A toddler walks down a hallway.,A little girl is walking down a hallway.,0.7199999809265136,0.7856063842773438,0.06560640335083012,0.06560640335083012,Good
A plane is landing.,A animated airplane is landing.,0.5599999904632569,0.7909080982208252,0.23090810775756831,0.23090810775756831,Poor
A panda is climbing.,A man is climbing a rope.,0.3200000047683716,0.3393153250217438,0.01931532025337218,0.01931532025337218,Excellent
Kids are dancing on stage.,Some people are dancing on stage.,0.6,0.7585870027542114,0.15858700275421145,0.15858700275421145,Fair
A man plays a guitar.,A man plays the piano.,0.27999999523162844,0.5384451150894165,0.25844511985778806,0.25844511985778806,Poor
A woman is slicing a meat.,A woman is singing on stage.,0.05,0.2569526433944702,0.20695264339447023,0.20695264339447023,Poor
A woman is taking a picture.,A man is playing a guitar.,0.05,-0.09588100016117096,0.14588100016117095,-0.14588100016117095,Fair
The man is riding a horse.,A woman is using a hoe.,0.0,-0.05738786607980728,0.05738786607980728,-0.05738786607980728,Good
A man is drilling a hole in a board.,Someone is drilling a hole in a piece of wood.,0.8,0.77093505859375,0.029064941406250044,-0.029064941406250044,Excellent
A man is fitting silencer on a pistol.,A man is adding a silencer to a gun.,0.9,0.893487811088562,0.0065121889114380105,-0.0065121889114380105,Excellent
Two little girls are talking on the phone.,A little girl is walking down the street.,0.1,0.3368169069290161,0.2368169069290161,0.2368169069290161,Poor
Someone is stirring chili in a kettle.,Someone is stirring a pot of chili with a spoon.,0.7599999904632568,0.8569605350494385,0.09696054458618164,0.09696054458618164,Good
The woman is cracking eggs into a bowl.,The lady broke raw eggs into a bowl.,0.9600000381469727,0.8171691298484802,0.14283090829849243,-0.14283090829849243,Fair
A woman puts flour on a piece of meat.,A woman is putting flour onto some meat.,1.0,0.9618431925773621,0.03815680742263794,-0.03815680742263794,Excellent
A man is talking on a phone.,A man is singing to a woman.,0.05,0.24741850793361664,0.19741850793361665,0.19741850793361665,Fair
A man is playing an electronic keyboard.,A man is playing a flute.,0.24000000953674316,0.3997330665588379,0.15973305702209473,0.15973305702209473,Fair
A man is playing a guitar.,A man is eating a banana.,0.12000000476837158,0.1958598494529724,0.07585984468460083,0.07585984468460083,Good
A man is jumping into water.,A man is cutting paper.,0.1600000023841858,0.1462872177362442,0.013712784647941595,-0.013712784647941595,Excellent
A man is playing a guitar.,A guy is playing an instrument.,0.7599999904632568,0.7464845776557922,0.0135154128074646,-0.0135154128074646,Excellent
A young man is playing the piano.,A woman is peeling a prawn.,0.0,-0.044956278055906296,0.044956278055906296,-0.044956278055906296,Excellent
A woman is mixing ingrediants.,A woman is mixing food in a bowl.,0.7,0.7460242509841919,0.04602425098419194,0.04602425098419194,Excellent
Someone is shredding cabbage leaves with a knife.,Someone is chopping some cabbage leaves.,0.9,0.8157451748847961,0.08425482511520388,-0.08425482511520388,Good
A slow lori walks around.,A animal is walking around.,0.5599999904632569,0.505720317363739,0.05427967309951787,-0.05427967309951787,Good
A little boy is vacuuming the floor.,A boy is vacuuming.,0.7599999904632568,0.8486227989196777,0.0886228084564209,0.0886228084564209,Good
A woman is applying eye liner to her eyelid using an eye pencil.,A woman is applying cosmetics to her eyelid.,0.7599999904632568,0.7478349208831787,0.012165069580078125,-0.012165069580078125,Excellent
A man is making a bed.,A woman is playing a guitar.,0.0,0.03506304323673248,0.03506304323673248,0.03506304323673248,Excellent
A man plays a keyboard.,A person is playing the keyboard.,0.8,0.8609099984169006,0.06090999841690059,0.06090999841690059,Good
A rabbit is playing with a toy rabbit.,A bunny is playing with a stuffed bunny.,0.85,0.8122051954269409,0.03779480457305906,-0.03779480457305906,Excellent
A plane rides on a road.,An airplane moves along a runway.,0.5624000072479248,0.620037317276001,0.05763731002807615,0.05763731002807615,Good
A man shoots a man.,A man with a pistol shoots another man.,0.85,0.8680934906005859,0.01809349060058596,0.01809349060058596,Excellent
A man plays the guitar.,The man sang and played his guitar.,0.6,0.748805046081543,0.148805046081543,0.148805046081543,Fair
A guy is playing hackysack,A man is playing a key-board.,0.2,0.5495377779006958,0.3495377779006958,0.3495377779006958,Poor
One man is breaking cement on another man's chest.,A man breaks cinder blocks on another man.,0.75,0.6661397218704224,0.08386027812957764,-0.08386027812957764,Good
A man is talking with other women on the beach.,A man is walking down the street.,0.0,0.13215525448322296,0.13215525448322296,0.13215525448322296,Fair
The woman is dicing onions.,A woman is dancing in railway station.,0.0800000011920929,0.16289913654327393,0.08289913535118103,0.08289913535118103,Good
A chef is preparing some food.,A chef prepared a meal.,0.8,0.9011547565460205,0.10115475654602046,0.10115475654602046,Good
The man talked to a girl over the internet camera.,A teenager talks to a girl over a webcam.,0.5599999904632569,0.6778491735458374,0.11784918308258052,0.11784918308258052,Fair
A turtle walks over the ground.,A large turtle crawls in the grass.,0.75,0.6200107336044312,0.12998926639556885,-0.12998926639556885,Fair
The lady cracked an egg for the mixer.,The lady sliced up the meat.,0.23080000877380372,0.3788389563560486,0.14803894758224487,0.14803894758224487,Fair
Five kittens are eating out of five dishes.,Kittens are eating food on trays.,0.55,0.71027672290802,0.16027672290801998,0.16027672290801998,Fair
A woman is slicing some tuna.,A woman is cutting raw fish.,0.5599999904632569,0.6975158452987671,0.1375158548355102,0.1375158548355102,Fair
A man playing the guitar.,A woman is painting her lips.,0.0,0.010690588504076004,0.010690588504076004,0.010690588504076004,Excellent
A man is playing a flute.,A dog is barking at a fly.,0.0,0.05719275772571564,0.05719275772571564,0.05719275772571564,Good
A baby rhino is walking around his pen with his mother.,A baby rhino is following an adult rhino.,0.6800000190734863,0.7079923748970032,0.02799235582351689,0.02799235582351689,Excellent
The man used a sword to slice a plastic bottle.,A man sliced a plastic bottle with a sword.,1.0,0.9516152143478394,0.048384785652160645,-0.048384785652160645,Excellent
A man is cleaning a fish on a kitchen counter.,A man is playing a flute.,0.1600000023841858,0.2899245619773865,0.12992455959320068,0.12992455959320068,Fair
A person is chopping coriander leaves.,A woman is slicing up some green leaves.,0.45,0.5912920236587524,0.14129202365875243,0.14129202365875243,Fair
A man is pressing microwave buttons.,A man turns on the microwave.,0.55,0.7942695617675781,0.24426956176757808,0.24426956176757808,Poor
A girl is riding a horse.,The girl trotted the horse.,0.9,0.7723298668861389,0.1276701331138611,-0.1276701331138611,Fair
Batman and Robin fly a helicopter over water.,A helicopter flies over water.,0.5199999809265137,0.6465151309967041,0.12651515007019043,0.12651515007019043,Fair
A woman pours oil into a skillet from a plastic bottle while she is talking.,An older woman is pouring oil into a skillet on the stove.,0.7599999904632568,0.7620478272438049,0.0020478367805480957,0.0020478367805480957,Excellent
A woman is cutting some herbs.,A woman is chopping cilantro.,0.5599999904632569,0.5351265668869019,0.024873423576355025,-0.024873423576355025,Excellent
The lady put the skewered shimp in the hot water.,The lady fried the breaded meat in hot oil.,0.3200000047683716,0.4764251708984375,0.1564251661300659,0.1564251661300659,Fair
A woman is riding on a horse.,A man is shooting off guns.,0.0,-0.009425690397620201,0.009425690397620201,-0.009425690397620201,Excellent
The boy is playing the piano.,A band is playing on stage.,0.2665999889373779,0.1440459042787552,0.12255408465862272,-0.12255408465862272,Fair
The cook is kneading the flour.,A woman is kneading tortilla dough.,0.5199999809265137,0.6247332692146301,0.10473328828811646,0.10473328828811646,Good
A woman is riding a horse along a perimeter.,A dog is riding a skateboard.,0.12000000476837158,0.2338850051164627,0.11388500034809113,0.11388500034809113,Fair
A woman is putting her baby in a waste bin.,The woman is poking holes in the potato.,0.0,0.2405630350112915,0.2405630350112915,0.2405630350112915,Poor
A cat is pouncing on a trampoline.,A man is slicing a tomato.,0.0,-0.013722235336899757,0.013722235336899757,-0.013722235336899757,Excellent
A man and woman are eating at a table.,A couple are eating a meal and talking.,0.6,0.6837365627288818,0.08373656272888186,0.08373656272888186,Good
A woman is riding on a horse.,A man is turning over tables in anger.,0.0,-0.10062824189662933,0.10062824189662933,-0.10062824189662933,Good
A man is screwing wood to a wall.,A man is giving a woman a massage.,0.04000000059604645,0.1758592128753662,0.13585921227931977,0.13585921227931977,Fair
A girl is playing a flute.,A girl plays a wind instrument.,0.6400000095367432,0.6803044080734253,0.04030439853668211,0.04030439853668211,Excellent
A small baby is playing a guitar.,"A boy sits on a bed, sings and plays a guitar.",0.4,0.4265798330307007,0.02657983303070066,0.02657983303070066,Excellent
A woman is chopping onion.,A man is doing a card trick.,0.0,-0.016437599435448647,0.016437599435448647,-0.016437599435448647,Excellent
A man and a woman walk through the woods.,The man and woman are walking.,0.6,0.7110210657119751,0.11102106571197512,0.11102106571197512,Good
A child is playing a computer game.,A boy is playing a game on a laptop.,0.6182000160217285,0.7408766746520996,0.12267665863037114,0.12267665863037114,Fair
Men are jumping into water from a bridge.,Men jump in a river.,0.55,0.7636459469795227,0.21364594697952266,0.21364594697952266,Poor
A woman is peeling some fish.,A woman is pouring a yellow mixture on a frying pan.,0.24000000953674316,0.2860957682132721,0.04609575867652893,0.04609575867652893,Excellent
People are playing baseball.,The cricket player hit the ball.,0.1,0.46613258123397827,0.3661325812339783,0.3661325812339783,Poor
A person is boiling soup.,A woman is placing eggs into a pan.,0.05,0.26621535420417786,0.21621535420417787,0.21621535420417787,Poor
A woman is dancing.,A man breaks a stick.,0.0,-0.004783503711223602,0.004783503711223602,-0.004783503711223602,Excellent
A ballet dancer is performing on stage.,The beaver is being petted.,0.0,0.02148628421127796,0.02148628421127796,0.02148628421127796,Excellent
A man shoots a basket.,A man is playing a guitar.,0.1,0.19104482233524323,0.09104482233524322,0.09104482233524322,Good
The elephants are bathing.,Two women are singing.,0.0,0.07819192111492157,0.07819192111492157,0.07819192111492157,Good
The man cut up an onion.,A man is dancing.,0.12000000476837158,0.12784543633460999,0.007845431566238403,0.007845431566238403,Excellent
A woman puts cosmetics on her eyelid.,The woman is pencilling on eye shadow.,0.8,0.5181502103805542,0.28184978961944585,-0.28184978961944585,Poor
A woman and man are riding in a car.,A woman driving a car is talking to the man seated beside her.,0.6800000190734863,0.582653820514679,0.09734619855880733,-0.09734619855880733,Good
A girl is dancing in a cage.,A onion is being chopped.,0.0,0.004903782159090042,0.004903782159090042,0.004903782159090042,Excellent
A cat is on a robot.,A man is eating bread.,0.0,0.05550013482570648,0.05550013482570648,0.05550013482570648,Good
The lady stirred up raw eggs in the bowl.,A woman is pouring eyes into a bowl.,0.2,0.5368850231170654,0.3368850231170654,0.3368850231170654,Poor
A cow is eating grass.,A dog is pulling a girl down a hill.,0.0,0.14368239045143127,0.14368239045143127,0.14368239045143127,Fair
The man stirred the sauce for the chicken.,The man is stirring oil.,0.48000001907348633,0.4756750166416168,0.004325002431869507,-0.004325002431869507,Excellent
A man jumping rope,A man is talking.,0.0800000011920929,0.3183841109275818,0.2383841097354889,0.2383841097354889,Poor
A woman is peeling an orange.,A woman cuts off a small piece of lemon rind.,0.3599999904632568,0.4108107388019562,0.05081074833869936,0.05081074833869936,Good
Someone is beating an egg.,A woman stirs eggs in a bowl.,0.5,0.5640869140625,0.0640869140625,0.0640869140625,Good
A man is cutting a potato.,A woman plays an electric guitar.,0.016599999368190767,-0.004128618165850639,0.020728617534041406,-0.020728617534041406,Excellent
A man is buttering a piece of bread.,A slow loris hanging on a cord.,0.0,-0.08804140985012054,0.08804140985012054,-0.08804140985012054,Good
A woman cuts up some vegetables.,A woman is placing skewered food onto a cooker.,0.2,0.4429472088813782,0.24294720888137816,0.24294720888137816,Poor
The lady cut the tail and body of a shrimp.,A woman is cleaning a shrimp.,0.9,0.6128777265548706,0.2871222734451294,-0.2871222734451294,Poor
A man plays an acoustic guitar.,A woman and dog are walking together.,0.0,-0.11503343284130096,0.11503343284130096,-0.11503343284130096,Fair
A person is peeling shrimp.,A person is preparing shrimp.,0.7199999809265136,0.7722161412239075,0.05221616029739384,0.05221616029739384,Good
A woman is cutting broccoli.,A woman is slicing broccoli.,1.0,0.8860236406326294,0.1139763593673706,-0.1139763593673706,Fair
A small dog laying on the bed.,A small dog is laying on a bed.,1.0,0.9820657968521118,0.017934203147888184,-0.017934203147888184,Excellent
The man is slicing a potato.,A man is slicing potato.,1.0,0.9917230606079102,0.008276939392089844,-0.008276939392089844,Excellent
The man is slicing a potato.,A man is slicing potato.,1.0,0.9917230606079102,0.008276939392089844,-0.008276939392089844,Excellent
A person is peeling shrimp.,A man is peeling shrimp.,0.7599999904632568,0.9214003682136536,0.16140037775039673,0.16140037775039673,Fair
A woman is putting on sun glasses.,A woman puts on sunglasses.,1.0,0.828354001045227,0.17164599895477295,-0.17164599895477295,Fair
A woman is slicing a potato.,A woman is slicing carrot.,0.5,0.7981104850769043,0.2981104850769043,0.2981104850769043,Poor
Women are running.,Two women are running.,0.764799976348877,0.9025633931159973,0.13776341676712034,0.13776341676712034,Fair
A man is playing a harp.,A woman is playing a guitar.,0.3200000047683716,0.3625437021255493,0.04254369735717772,0.04254369735717772,Excellent
A man dives into a pool.,A man dives into a swimming pool.,1.0,0.9707132577896118,0.029286742210388184,-0.029286742210388184,Excellent
The man is smashing garlic.,A man is smashing some garlic.,1.0,0.9822906255722046,0.01770937442779541,-0.01770937442779541,Excellent
A man is cutting up a potato.,A man is cutting up carrots.,0.475,0.7122403383255005,0.2372403383255005,0.2372403383255005,Poor
A man is slicing an onion.,A man slices an onion.,1.0,0.9378437995910645,0.06215620040893555,-0.06215620040893555,Good
A man is dancing.,A man is singing.,0.25,0.43011149764060974,0.18011149764060974,0.18011149764060974,Fair
A man is running.,A man is singing.,0.25,0.29732805490493774,0.047328054904937744,0.047328054904937744,Excellent
The man is hiking in the woods.,A man is tracking in the wood.,0.6,0.4198141098022461,0.18018589019775388,-0.18018589019775388,Fair
A man is playing a flute.,A man is playing guitar.,0.43340001106262205,0.5152467489242554,0.08184673786163332,0.08184673786163332,Good
A man is riding a bike.,A woman is riding a horse.,0.27999999523162844,0.1294877529144287,0.15051224231719973,-0.15051224231719973,Fair
A woman is playing the guitar.,A person is playing a guitar.,0.8,0.818803071975708,0.018803071975707963,0.018803071975707963,Excellent
A man is eating a pizza.,A man is eating a food.,0.7199999809265136,0.6859070658683777,0.03409291505813594,-0.03409291505813594,Excellent
A man is playing guitar.,A man plays a guitar.,0.971399974822998,0.9759840965270996,0.004584121704101607,0.004584121704101607,Excellent
The man is buttering the bread.,The man is stirring the rice.,0.0800000011920929,0.3134596049785614,0.23345960378646852,0.23345960378646852,Poor
A woman is hitting a man.,A woman is taking a bath.,0.04000000059604645,0.12525250017642975,0.0852524995803833,0.0852524995803833,Good
Three men are dancing.,Women are dancing.,0.25999999046325684,0.49133849143981934,0.2313385009765625,0.2313385009765625,Poor
A man is speaking.,A man is dancing.,0.24000000953674316,0.33644792437553406,0.0964479148387909,0.0964479148387909,Good
A man is dancing.,A man is speaking.,0.24000000953674316,0.33644792437553406,0.0964479148387909,0.0964479148387909,Good
A person is combing a cat hair.,A person is brushing a cat.,0.8800000190734864,0.8060864210128784,0.07391359806060793,-0.07391359806060793,Good
A man is playing the drums.,A man is playing guitar.,0.3599999904632568,0.4749564528465271,0.11495646238327029,0.11495646238327029,Fair
A man is peeling a banana.,A woman is peeling a potato.,0.27999999523162844,0.450248658657074,0.17024866342544553,0.17024866342544553,Fair
A boy is riding a horse.,A monkey is riding a bus.,0.0800000011920929,0.20019054412841797,0.12019054293632507,0.12019054293632507,Fair
The puppy tried to get out of the tub.,A puppy is trying to get out of a bathtub.,0.8800000190734864,0.859046995639801,0.020953023433685325,-0.020953023433685325,Excellent
A woman is peeling an onion.,The woman is slicing green onions.,0.65,0.7231597900390625,0.07315979003906248,0.07315979003906248,Good
A person is mixing a pot of rice.,A person is peeling a potato.,0.1555999994277954,0.31386232376098633,0.15826232433319093,0.15826232433319093,Fair
A man is playing a guitar.,The girl is playing the guitar.,0.45,0.5417075157165527,0.09170751571655272,0.09170751571655272,Good
A lion cub tries to climb a fence.,A lion tries to climb over a wall.,0.55,0.7368611097335815,0.1868611097335815,0.1868611097335815,Fair
A man is talking on a cell phone.,A guy is talking into a microphone.,0.4,0.5820814371109009,0.18208143711090086,0.18208143711090086,Fair
A man is playing a guitar.,A man is cleaning a cd.,0.1666000008583069,0.3708089590072632,0.2042089581489563,0.2042089581489563,Poor
Someone is pouring chicken broth into a pot.,The man is pouring broth into the pot.,0.75,0.8333197236061096,0.08331972360610962,0.08331972360610962,Good
A woman is chopping an onion.,A woman is chopping garlic with a knife.,0.3599999904632568,0.7613668441772461,0.4013668537139893,0.4013668537139893,Poor
The man is shaking hands with other men.,A man is shaking another mans hand.,0.8666000366210938,0.8986291289329529,0.03202909231185913,0.03202909231185913,Excellent
A target is being hit with gun fire.,The target was being shot with bullets.,0.8428000450134278,0.7713069915771484,0.07149305343627932,-0.07149305343627932,Good
A woman is applying makeup.,A man is playing a guitar.,0.0,0.022503476589918137,0.022503476589918137,0.022503476589918137,Excellent
A woman is slicing a big pepper.,A person is cutting a green pepper.,0.6800000190734863,0.6655938625335693,0.014406156539916948,-0.014406156539916948,Excellent
A man puts some cheese on a pizza.,A man is sprinkling shredded cheese on a pizza.,0.8399999618530274,0.8332272171974182,0.006772744655609175,-0.006772744655609175,Excellent
A man is staring at a leaf.,A man is slicing a vegetable.,0.1600000023841858,0.29371559619903564,0.13371559381484985,0.13371559381484985,Fair
A person is picking a komodo dragon and putting it in a box.,A person is placing a baby komodo dragon into a container.,0.8399999618530274,0.7294272780418396,0.11057268381118779,-0.11057268381118779,Good
A person drops a camera down an escelator.,A man tosses a bag down an escalator.,0.55,0.391434907913208,0.15856509208679204,-0.15856509208679204,Fair
The man is playing the keyboards.,A man is playing guitar.,0.4400000095367432,0.4632270336151123,0.02322702407836913,0.02322702407836913,Excellent
A woman is applying eye shadow.,A woman is washing a bowl.,0.24000000953674316,0.15334025025367737,0.0866597592830658,-0.0866597592830658,Good
A woman is playing the flute.,A man is playing a keyboard.,0.2,0.1700993776321411,0.029900622367858898,-0.029900622367858898,Excellent
A man is riding on a horse.,A woman is riding an elephant.,0.3065999984741211,0.2584400475025177,0.048159950971603416,-0.048159950971603416,Excellent
A man is playing flute.,A man is dancing.,0.04000000059604645,0.37769997119903564,0.3376999706029892,0.3376999706029892,Poor
A tiger is walking around his cage.,A tiger walks around aimlessly.,0.6,0.7477580904960632,0.14775809049606325,0.14775809049606325,Fair
A person pours cooking oil into a pot.,A person is pouring olive oil into a pot on the stove.,0.7599999904632568,0.8704801201820374,0.11048012971878052,0.11048012971878052,Good
A woman is cutting potato.,A woman is riding a horse.,0.15,0.17266061902046204,0.02266061902046204,0.02266061902046204,Excellent
A parrot is talking.,A parrot is talking into a microphone.,0.6,0.9012677669525146,0.30126776695251467,0.30126776695251467,Poor
A man is singing into a microphone.,A man is dancing in the rain.,0.0800000011920929,0.3010297417640686,0.22102974057197572,0.22102974057197572,Poor
A woman is exercising.,A woman lifts weights.,0.6800000190734863,0.71541428565979,0.035414266586303755,0.035414266586303755,Excellent
A child runs into and out of the ocean waves.,A young boy is running toward and from the ocean waves.,0.7599999904632568,0.8357092142105103,0.07570922374725342,0.07570922374725342,Good
A man is playing the piano.,A man is playing a wooden flute.,0.27999999523162844,0.49951210618019104,0.2195121109485626,0.2195121109485626,Poor
A guy is riding a horse.,A man is riding a horse in the desert.,0.6800000190734863,0.6414048075675964,0.03859521150588985,-0.03859521150588985,Excellent
A dog is stealing food from a refrigerator.,The dog took something out of the refrigerator.,0.6400000095367432,0.759443461894989,0.11944345235824583,0.11944345235824583,Fair
A person uses a blowtorch on two cameras.,A person is burning cameras.,0.4665999889373779,0.5683484077453613,0.10174841880798341,0.10174841880798341,Good
A man is putting a knife in a vice.,A man is getting into a car in a garage.,0.1600000023841858,0.2704201638698578,0.11042016148567199,0.11042016148567199,Good
A woman is cooking meat.,A man is speaking.,0.0,-0.07180272042751312,0.07180272042751312,-0.07180272042751312,Good
A puppy is trying to come out from the sink.,The puppy tried to get out of the tub.,0.6,0.6844635605812073,0.0844635605812073,0.0844635605812073,Good
A person is folding a square paper piece.,A person folds a piece of paper.,0.75,0.9125989079475403,0.16259890794754028,0.16259890794754028,Fair
The boy is playing the piano.,The woman is pouring oil into the pan.,0.0,-0.028039880096912384,0.028039880096912384,-0.028039880096912384,Excellent
A man is cutting a potato.,A woman is climbing a rock wall.,0.0,-0.0418674610555172,0.0418674610555172,-0.0418674610555172,Excellent
A woman is feeding a baby.,A man is adding water to pan.,0.0,0.05370761454105377,0.05370761454105377,0.05370761454105377,Good
A man is playing a guitar.,A woman is riding a horse.,0.1,0.003978816792368889,0.09602118320763112,-0.09602118320763112,Good
A woman is mixing eggs.,The woman is eating.,0.1,0.43572425842285156,0.3357242584228516,0.3357242584228516,Poor
A man is riding on a boat.,A man is tying in the machine.,0.0800000011920929,0.17755338549613953,0.09755338430404663,0.09755338430404663,Good
A man is serving cake.,A man seasoning quail.,0.15,0.2752874791622162,0.1252874791622162,0.1252874791622162,Fair
Someone is greating a carrot.,A woman is grating an orange food.,0.5,0.3398386240005493,0.16016137599945068,-0.16016137599945068,Fair
A man is standing on a roof top playing a violin.,A man is on a roof dancing.,0.3599999904632568,0.5788196325302124,0.2188196420669556,0.2188196420669556,Poor
A monkey is karate kicking a person.,A monkey pratices martial arts.,0.5,0.7806336879730225,0.28063368797302246,0.28063368797302246,Poor
A man shappens a knife.,A man carries a women.,0.1,0.08834690600633621,0.011653093993663793,-0.011653093993663793,Excellent
A woman is brushing her feet.,A woman is chopping an onion.,0.0800000011920929,0.26358485221862793,0.18358485102653505,0.18358485102653505,Fair
A woman is removing skin from some meat.,A woman is slicing a tomato.,0.24000000953674316,0.4239049255847931,0.18390491604804993,0.18390491604804993,Fair
A man is stirring ingredients in a bowl.,A man is beating two eggs in a bowl with a fork.,0.55,0.5886198282241821,0.038619828224182084,0.038619828224182084,Excellent
A woman is relaxing in a bath tub.,A woman is stabbing a potato with a fork.,0.0800000011920929,0.03467760607600212,0.04532239511609078,-0.04532239511609078,Excellent
A woman is adding oil on fishes.,The woman is cutting potatoes.,0.12000000476837158,0.20313574373722076,0.08313573896884918,0.08313573896884918,Good
A woman is writing something.,A woman is chopping green onions.,0.1600000023841858,0.2594308853149414,0.09943088293075561,0.09943088293075561,Good
A baby eats his food.,A baby is being fed peas.,0.6,0.5667815804481506,0.03321841955184934,-0.03321841955184934,Excellent
A man is slicing a carrot by a machine.,A man is standing in the rain.,0.0800000011920929,0.06329688429832458,0.016703116893768313,-0.016703116893768313,Excellent
A man is playing a guitar and singing on a stage.,A man is playing the electric guitar.,0.6400000095367432,0.585519552230835,0.054480457305908225,-0.054480457305908225,Good
A boy is playing a piano.,A man is singing and playing a guitar.,0.25,0.25375667214393616,0.0037566721439361572,0.0037566721439361572,Excellent
The person is starting a fire.,A person makes fire.,1.0,0.879679799079895,0.12032020092010498,-0.12032020092010498,Fair
